PurchaseID,PurchaseDate,CustomerID,ShopperID,EventTypeID
,9/22/2022,122,5,4
,2/1/2023,526,6,6
,3/19/2022,837,8,2
,8/24/2021,1376,2,2
,5/4/2020,1735,7,2
,11/6/2021,242,4,6
,4/3/2020,125,4,6
,8/24/2020,1102,1,5
,8/12/2023,96,2,3
,12/13/2022,510,4,3
,6/18/2022,860,5,2
,2/21/2020,1984,4,6
,9/8/2021,1687,7,6
,11/27/2022,186,2,4
,1/8/2021,1023,9,6
,6/12/2019,1309,7,6
,6/15/2021,238,3,2
,5/6/2023,361,8,6
,6/5/2019,398,5,2
,12/17/2019,806,6,4
,10/29/2023,671,8,3
,4/28/2023,749,4,5
,6/22/2022,1663,9,5
,7/10/2022,1074,2,6
,5/23/2021,1026,5,3
,6/27/2020,284,9,4
,4/16/2020,135,8,3
,2/11/2019,1919,2,3
,2/21/2022,852,6,2
,2/18/2021,1346,5,2
,12/27/2021,1640,4,6
,4/6/2019,206,9,4
,9/17/2022,585,5,2
,1/14/2020,634,8,3
,12/21/2019,1381,9,6
,12/10/2019,1993,6,6
,8/23/2021,1701,4,3
,12/3/2023,1452,10,4
,3/20/2022,16,7,4
,8/30/2021,501,4,3
,9/9/2020,1254,8,6
,2/12/2023,372,8,6
,8/6/2021,1965,3,6
,4/25/2021,689,4,5
,5/21/2023,748,2,6
,6/23/2021,896,8,4
,9/20/2019,1263,4,6
,6/3/2023,343,6,4
,4/23/2021,1404,10,6
,9/12/2020,279,10,3
,5/27/2020,152,1,4
,1/14/2022,1570,3,4
,12/23/2020,1204,4,2
,4/13/2020,1042,10,4
,4/15/2023,1474,5,6
,10/7/2019,256,6,6
,11/22/2022,1064,2,4
,4/3/2020,355,9,6
,12/8/2020,331,8,5
,12/14/2023,79,3,2
,5/18/2020,1514,4,6
,1/29/2021,93,7,4
,5/30/2023,1357,4,6
,1/30/2019,211,9,6
,8/25/2022,149,7,6
,6/29/2021,1568,10,4
,5/30/2020,642,6,4
,2/26/2023,430,4,3
,11/12/2023,572,8,6
,9/6/2021,1697,3,3
,12/12/2019,1859,9,2
,11/24/2021,513,7,4
,10/13/2019,432,9,6
,12/24/2023,1107,7,3
,12/25/2023,758,3,6
,8/15/2021,1473,2,6
,7/2/2022,1784,9,6
,10/16/2021,1095,8,3
,11/14/2022,1590,6,3
,3/24/2022,1725,6,4
,8/21/2022,101,9,6
,8/5/2022,909,2,4
,8/3/2021,495,6,3
,12/28/2022,1169,3,2
,8/14/2020,82,8,6
,1/7/2023,514,8,3
,10/4/2021,775,6,5
,4/19/2023,1322,1,2
,11/10/2022,931,7,4
,6/30/2019,455,2,3
,9/14/2019,1975,1,4
,3/2/2022,338,7,3
,4/9/2019,1916,9,6
,3/28/2022,1122,6,4
,9/12/2023,1448,10,6
,10/25/2023,1632,7,4
,5/10/2022,22,1,4
,6/2/2023,1511,7,1
,5/6/2021,435,10,2
,7/27/2020,1676,6,5
,3/1/2019,267,1,2
,11/25/2022,612,1,6
,6/29/2019,580,10,6
,2/15/2021,898,8,6
,7/24/2022,1760,6,4
,7/28/2020,1127,4,2
,12/13/2022,531,5,4
,12/17/2022,499,4,6
,1/17/2021,1768,4,6
,8/14/2021,1824,4,4
,5/21/2019,351,4,4
,5/14/2022,692,2,3
,5/26/2021,1623,8,4
,8/29/2020,616,5,2
,12/21/2019,1554,8,2
,8/8/2019,1858,6,6
,8/10/2019,1848,8,6
,5/4/2019,1465,10,2
,9/30/2019,608,10,2
,10/12/2020,1692,2,6
,11/8/2023,330,10,4
,4/13/2022,1897,3,6
,11/11/2023,1219,1,4
,7/6/2021,681,4,4
,12/1/2023,1866,4,4
,4/18/2020,1114,7,6
,8/27/2021,1411,5,4
,10/21/2019,1884,7,6
,4/1/2023,1906,5,1
,4/18/2020,1434,9,5
,4/16/2022,1103,7,5
,9/7/2022,933,5,4
,4/22/2022,120,2,2
,10/13/2021,879,6,3
,4/8/2023,598,5,6
,7/1/2023,1731,5,5
,12/14/2023,1849,7,3
,6/25/2021,1565,2,6
,6/7/2020,295,4,1
,10/20/2020,4,1,6
,1/10/2020,1790,6,4
,12/27/2020,1777,4,4
,9/13/2023,851,8,6
,10/1/2023,1968,5,1
,2/24/2019,1906,10,6
,10/12/2022,1526,5,6
,3/9/2021,1317,10,5
,2/27/2020,1071,9,6
,5/24/2022,1879,6,4
,12/22/2022,918,5,6
,11/14/2022,1641,5,4
,10/21/2023,542,5,3
,12/31/2021,1635,2,2
,8/17/2021,463,7,6
,9/23/2022,13,4,4
,7/2/2019,104,7,3
,11/11/2021,1403,10,2
,8/10/2020,950,8,6
,6/9/2022,1203,7,2
,2/27/2019,1236,9,4
,1/25/2020,1090,3,4
,8/6/2021,776,2,3
,4/17/2020,459,2,2
,3/14/2019,1183,10,6
,8/5/2020,1478,4,1
,3/16/2019,814,2,6
,9/13/2019,967,6,6
,9/27/2023,239,1,4
,1/22/2020,1089,1,6
,12/31/2021,199,3,4
,6/13/2020,1238,6,6
,7/16/2023,1897,10,6
,5/28/2023,1070,5,4
,2/20/2023,1395,5,4
,10/15/2023,1724,1,6
,7/8/2023,788,4,2
,2/12/2021,850,2,6
,7/24/2023,659,9,4
,5/20/2019,1822,4,6
,1/27/2021,627,5,3
,8/13/2022,1091,4,4
,9/15/2020,516,9,6
,8/20/2023,1252,9,3
,4/12/2022,1135,10,6
,11/23/2022,452,2,4
,6/23/2022,1269,5,5
,4/20/2019,1035,5,2
,1/1/2022,1262,3,2
,10/26/2020,912,6,3
,5/16/2022,1328,8,6
,12/12/2020,1295,1,6
,6/28/2021,1960,4,4
,10/15/2021,1449,7,3
,3/5/2019,1991,4,6
,3/10/2023,1264,5,4
,4/19/2019,622,5,2
,5/11/2021,1559,7,2
,3/26/2019,1628,7,3
,1/27/2020,236,10,2
,10/7/2020,1011,10,4
,9/20/2023,997,8,6
,2/25/2019,1034,10,6
,12/8/2023,1852,7,6
,3/28/2019,1598,3,6
,7/11/2021,1973,1,6
,4/7/2021,1589,9,6
,6/22/2022,715,8,1
,4/26/2022,1136,3,6
,2/12/2023,1618,6,6
,9/17/2020,1013,2,4
,7/17/2022,1224,5,6
,8/14/2019,1402,6,2
,3/7/2022,1816,4,2
,8/19/2022,1234,10,2
,9/4/2019,541,2,6
,4/27/2019,12,6,2
,8/15/2019,413,7,4
,10/30/2021,920,6,4
,4/14/2020,1399,7,4
,6/16/2020,1053,5,3
,3/26/2022,850,4,2
,10/20/2023,673,8,4
,5/31/2022,1776,9,2
,4/11/2021,1342,6,4
,7/3/2022,812,8,6
,11/15/2020,594,9,3
,11/27/2020,1973,4,6
,8/14/2019,1012,3,6
,3/6/2023,432,5,3
,8/17/2021,1235,3,5
,2/8/2019,1395,8,2
,12/14/2020,553,1,2
,3/26/2021,823,3,4
,2/13/2023,892,9,3
,6/19/2023,307,5,2
,5/11/2022,1234,10,4
,2/7/2020,133,10,4
,11/13/2021,1711,5,3
,9/25/2021,873,7,2
,9/25/2021,1415,3,6
,3/8/2022,394,2,5
,9/10/2021,1407,10,6
,7/9/2019,1139,4,4
,7/13/2021,544,6,6
,5/24/2019,1561,8,6
,4/14/2020,79,8,4
,1/31/2020,1140,6,6
,4/7/2020,1692,9,3
,12/26/2020,1476,10,3
,7/22/2021,639,1,4
,3/25/2020,286,5,4
,5/29/2022,342,6,4
,5/22/2020,1323,9,6
,6/4/2019,891,5,6
,8/28/2023,1860,8,6
,3/8/2022,1896,9,4
,3/11/2021,466,2,6
,9/29/2020,216,4,4
,8/3/2022,1610,10,4
,9/28/2021,1184,1,3
,8/14/2023,1735,4,6
,4/18/2022,365,2,4
,9/7/2022,1948,8,2
,9/9/2019,1500,4,3
,7/9/2023,546,7,5
,1/29/2023,864,9,2
,9/12/2023,814,2,6
