PurchaseItemID,PurchaseID,ItemID,Quantity
,2129,5,1
,4288,178,1
,2469,95,1
,2021,78,1
,3059,140,1
,9467,7,1
,4807,160,1
,8678,49,1
,6262,109,1
,1182,72,1
,4937,18,1
,6915,90,1
,131,108,1
,3459,147,1
,378,75,1
,499,111,1
,9274,106,1
,5370,25,1
,4856,71,1
,2581,138,1
,7851,175,1
,9319,5,1
,6276,162,1
,3711,47,1
,802,114,1
,110,12,1
,937,105,1
,7094,1,1
,5117,138,1
,4165,96,1
,1692,180,1
,573,96,1
,1169,40,1
,3693,34,1
,333,93,1
,8108,94,1
,4351,82,1
,1194,4,1
,9963,51,1
,1129,177,1
,1546,152,1
,4301,114,1
,8444,73,1
,5154,179,1
,9304,74,1
,4426,19,1
,6518,164,1
,9905,127,1
,2039,117,1
,9844,47,1
,6833,136,1
,7953,113,1
,6962,174,1
,274,94,1
,7807,12,1
,4087,92,1
,1348,134,1
,2176,41,1
,4114,39,1
,5539,74,1
,8984,92,1
,8337,167,1
,1732,135,1
,2356,67,1
,3714,38,1
,3611,70,1
,8344,150,1
,7919,94,1
,9084,150,1
,7601,140,1
,7009,137,1
,2358,61,1
,4376,57,1
,4819,9,1
,5475,33,1
,819,55,1
,5629,57,1
,7370,14,1
,1515,124,1
,8335,129,1
,4453,126,1
,3869,38,1
,7004,153,1
,8247,37,1
,6780,54,1
,4052,96,1
,5336,147,1
,1977,6,1
,1871,166,1
,6750,11,1
,1068,168,1
,9743,165,1
,6697,106,1
,4166,85,1
,8841,151,1
,726,155,1
,3158,144,1
,706,171,1
,6728,153,1
,5026,149,1
,458,106,1
,3823,96,1
,3069,126,1
,8951,167,1
,7849,72,1
,801,81,1
,2264,179,1
,3284,170,1
,8686,165,1
,7479,163,1
,347,65,1
,7182,105,1
,9797,88,1
,8376,11,1
,1889,138,1
,1240,1,1
,6380,176,1
,6129,58,1
,1575,75,1
,1496,136,1
,8795,25,1
,2492,84,1
,6568,34,1
,4241,102,1
,3606,99,1
,9824,30,1
,7427,111,1
,2593,68,1
,202,114,1
,5957,20,1
,8254,129,1
,9860,146,1
,6382,135,1
,4665,148,1
,3247,111,1
,8510,65,1
,2342,154,1
,1076,42,1
,4450,11,1
,8098,153,1
,7189,98,1
,7971,61,1
,9349,162,1
,9383,93,1
,9709,109,1
,473,35,1
,2091,8,1
,8567,124,1
,18,144,1
,3202,142,1
,3900,15,1
,6394,80,1
,1195,73,1
,2779,51,1
,1472,122,1
,9497,108,1
,7055,104,1
,5187,25,1
,5804,23,1
,1542,173,1
,7744,107,1
,5716,156,1
,8274,172,1
,4271,83,1
,5921,130,1
,7658,115,1
,1960,155,1
,7931,6,1
,2583,62,1
,8160,82,1
,2041,103,1
,1335,92,1
,3188,25,1
,4646,95,1
,9455,163,1
,8573,153,1
,4830,167,1
,1655,176,1
,1428,32,1
,3970,71,1
,7919,163,1
,7804,54,1
,2967,14,1
,126,105,1
,8321,84,1
,6473,61,1
,9932,77,1
,6497,92,1
,6297,80,1
,6563,84,1
,2883,45,1
,4374,19,1
,3956,12,1
,7078,1,1
,198,156,1
,5461,29,1
,4626,145,1
,3198,104,1
,988,99,1
,3003,153,1
,7601,155,1
,1586,61,1
,4619,45,1
,2670,168,1
,2949,35,1
,526,81,1
,6054,73,1
,4231,93,1
,5919,33,1
,6513,81,1
,6512,74,1
,8342,90,1
,8988,90,1
,3977,84,1
,4348,152,1
,8428,65,1
,7529,20,1
,4804,65,1
,1452,86,1
,9988,158,1
,2147,78,1
,8790,145,1
,9990,158,1
,9646,23,1
,7555,69,1
,5041,45,1
,423,65,1
,5809,97,1
,20,62,1
,7590,92,1
,6987,24,1
,348,44,1
,659,18,1
,6617,14,1
,4383,172,1
,6356,10,1
,9926,62,1
,5316,179,1
,2482,176,1
,331,179,1
,4568,27,1
,2080,67,1
,7470,104,1
,1531,63,1
,9366,53,1
,5263,13,1
,5707,131,1
,7766,180,1
,6095,5,1
,2403,94,1
,1273,148,1
,2945,69,1
,4279,29,1
,7519,173,1
,9842,53,1
,9114,125,1
,8114,173,1
,6789,106,1
,2691,157,1
,5452,63,1
,292,155,1
,3641,138,1
,2649,153,1
,6140,65,1
,6665,160,1
,6580,47,1
,7546,4,1
,8119,4,1
,4194,150,1
,3564,61,1
,3596,81,1
,4960,175,1
,2972,124,1
,4769,7,1
,3811,127,1
,23,92,1
,2560,55,1
,4769,174,1
,2534,153,1
,1836,86,1
,158,69,1
,8874,100,1
,3096,92,1
,3720,100,1
,1957,33,1
,2996,153,1
,2683,133,1
,6501,76,1
,1875,61,1
,6875,44,1
,7675,125,1
,2929,44,1
,4648,121,1
,3824,25,1
,3591,98,1
,3312,84,1
,6016,49,1
,560,122,1
,8916,161,1
,8752,149,1
,7733,95,1
,9972,135,1
,6209,89,1
,2414,138,1
,6551,160,1
,4029,82,1
,5364,144,1
,8204,129,1
,2749,26,1
,6405,119,1
,1605,84,1
,5803,45,1
,2602,173,1
,8904,115,1
,4560,59,1
,4044,144,1
,8216,146,1
,450,120,1
,5375,107,1
,7923,129,1
,2860,47,1
,1924,80,1
,9476,76,1
,4214,26,1
,4664,32,1
,3120,74,1
,2083,54,1
,4629,43,1
,3903,158,1
,8309,116,1
,3049,34,1
,6344,26,1
,1337,75,1
,3154,23,1
,9699,148,1
,1557,83,1
,4542,139,1
,6297,74,1
,135,62,1
,5713,48,1
,2413,84,1
,2425,175,1
,9416,24,1
,1237,156,1
,4069,90,1
,98,86,1
,4822,60,1
,5695,172,1
,3901,32,1
,874,36,1
,2727,54,1
,2414,52,1
,8126,176,1
,4777,21,1
,9455,172,1
,5936,106,1
,7104,113,1
,528,73,1
,8271,169,1
,8586,70,1
,2745,42,1
,3276,3,1
,7877,117,1
,5717,107,1
,7479,76,1
,6299,35,1
,6376,56,1
,8319,168,1
,1321,35,1
,6735,172,1
,2945,165,1
,5904,94,1
,1308,107,1
,243,58,1
,2830,176,1
,4311,6,1
,9159,40,1
,5817,109,1
,3674,63,1
,8151,101,1
,1225,169,1
,2272,45,1
,7790,75,1
,9165,4,1
,1787,175,1
,4843,64,1
,6395,74,1
,7709,176,1
,3371,26,1
,904,63,1
,3412,39,1
,6626,117,1
,4733,1,1
,8435,82,1
,1712,97,1
,4492,170,1
